tweet_id,favorites,retweets,user_followers,user_favourites,date_time
789314372632018944,8205,2139,9285536,146719,2016-10-21 03:56:25+00:00
789280767834746880,0,4592,9285536,146719,2016-10-21 01:42:53+00:00
789268448748703744,8665,2449,9285536,146719,2016-10-21 00:53:56+00:00
789137962068021249,9228,2609,9285536,146719,2016-10-20 16:15:26+00:00
788908386943430656,26086,11718,9285536,146719,2016-10-20 01:03:11+00:00
788765914992902144,25921,9671,9285536,146719,2016-10-19 15:37:03+00:00
788552643979468800,0,6670,9285536,146719,2016-10-19 01:29:35+00:00
788412144018661376,14730,4930,9285536,146719,2016-10-18 16:11:17+00:00
788178268662984705,6902,1980,9285536,146719,2016-10-18 00:41:57+00:00
788150585577050112,5803,1201,9285536,146719,2016-10-17 22:51:57+00:00
788070120937619456,0,3215,9285536,146719,2016-10-17 17:32:13+00:00
788039637453406209,5800,1230,9285536,146719,2016-10-17 15:31:05+00:00
787810552592695296,8155,2842,9285536,146719,2016-10-17 00:20:47+00:00
787717603741622272,9715,2587,9285536,146719,2016-10-16 18:11:26+00:00
787397959788929025,10339,2670,9285536,146719,2016-10-15 21:01:17+00:00
787322443945877504,7401,1628,9285536,146719,2016-10-15 16:01:13+00:00
787111942498508800,0,6301,9285536,146719,2016-10-15 02:04:45+00:00
786963064373534720,25289,7433,9285536,146719,2016-10-14 16:13:10+00:00
786729988674449408,0,2275,9285536,146719,2016-10-14 00:47:00+00:00
786709082849828864,17373,5734,9285536,146719,2016-10-13 23:23:56+00:00
786664955043049472,10056,2366,9285536,146719,2016-10-13 20:28:35+00:00
786595970293370880,8981,2918,9285536,146719,2016-10-13 15:54:28+00:00
786363235746385920,10285,3220,9285536,146719,2016-10-13 00:29:39+00:00
786286427768250368,7566,2648,9285536,146719,2016-10-12 19:24:27+00:00
786233965241827333,14415,4380,9285536,146719,2016-10-12 15:55:59+00:00
786051337297522688,1354,148,9285536,146719,2016-10-12 03:50:17+00:00
786036967502913536,0,6505,9285536,146719,2016-10-12 02:53:11+00:00
785927819176054784,10815,2991,9285536,146719,2016-10-11 19:39:28+00:00
785872687017132033,6346,1673,9285536,146719,2016-10-11 16:00:24+00:00
785639753186217984,7462,2106,9285536,146719,2016-10-11 00:34:48+00:00
785533386513321988,8595,1843,9285536,146719,2016-10-10 17:32:08+00:00
785515384317313025,5800,1166,9285536,146719,2016-10-10 16:20:36+00:00
785264754247995392,6913,1519,9285536,146719,2016-10-09 23:44:41+00:00
785170936622350336,11384,4501,9285536,146719,2016-10-09 17:31:53+00:00
784826020293709826,9576,3012,9285536,146719,2016-10-08 18:41:19+00:00
784517518371221505,8502,2366,9285536,146719,2016-10-07 22:15:26+00:00
784431430411685888,5446,1184,9285536,146719,2016-10-07 16:33:21+00:00
784183165795655680,18971,7483,9285536,146719,2016-10-07 00:06:50+00:00
784057939640352768,28124,10366,9285536,146719,2016-10-06 15:49:14+00:00
783839966405230592,28411,10052,9285536,146719,2016-10-06 01:23:05+00:00
783821107061198850,6991,1829,9285536,146719,2016-10-06 00:08:09+00:00
783695101801398276,9873,2991,9285536,146719,2016-10-05 15:47:27+00:00
783466772167098368,7986,2076,9285536,146719,2016-10-05 00:40:09+00:00
783391753726550016,16006,5096,9285536,146719,2016-10-04 19:42:03+00:00
783347506784731136,0,5148,9285536,146719,2016-10-04 16:46:14+00:00
783334639985389568,27503,10889,9285536,146719,2016-10-04 15:55:06+00:00
783085703974514689,7740,2020,9285536,146719,2016-10-03 23:25:55+00:00
782969140009107456,22823,6891,9285536,146719,2016-10-03 15:42:44+00:00
782747134529531904,7071,1319,9285536,146719,2016-10-03 01:00:34+00:00
782722598790725632,16301,5017,9285536,146719,2016-10-02 23:23:04+00:00
782598640137187329,7383,1767,9285536,146719,2016-10-02 15:10:30+00:00
782305867769217024,15716,5129,9285536,146719,2016-10-01 19:47:08+00:00
782021823840026624,0,5741,9285536,146719,2016-10-01 00:58:26+00:00
781955203444699136,10570,3138,9285536,146719,2016-09-30 20:33:43+00:00
781661882474196992,9883,2528,9285536,146719,2016-09-30 01:08:10+00:00
781655249211752448,3785,1053,9285536,146719,2016-09-30 00:41:48+00:00
781524693396357120,19597,5148,9285536,146719,2016-09-29 16:03:01+00:00
781308096455073793,6751,2385,9285536,146719,2016-09-29 01:42:20+00:00
781251288990355457,7925,1930,9285536,146719,2016-09-28 21:56:36+00:00
781163403222056960,9278,2584,9285536,146719,2016-09-28 16:07:23+00:00
780931614150983680,20495,6748,9285536,146719,2016-09-28 00:46:20+00:00
780858289093574656,6802,1866,9285536,146719,2016-09-27 19:54:58+00:00
780800785462489090,5195,1201,9285536,146719,2016-09-27 16:06:28+00:00
780601303617732608,11429,3127,9285536,146719,2016-09-27 02:53:48+00:00
780543529827336192,5953,1627,9285536,146719,2016-09-26 23:04:13+00:00
780496263422808064,0,3425,9285536,146719,2016-09-26 19:56:24+00:00
780476555013349377,0,103,9285536,146719,2016-09-26 18:38:05+00:00
780459368902959104,5000,1003,9285536,146719,2016-09-26 17:29:48+00:00
780192070812196864,8222,2089,9285536,146719,2016-09-25 23:47:39+00:00
780092040432480260,0,2137,9285536,146719,2016-09-25 17:10:10+00:00
780074436359819264,11434,4570,9285536,146719,2016-09-25 16:00:13+00:00
779834332596887552,17773,6505,9285536,146719,2016-09-25 00:06:08+00:00
779377524342161408,8258,2889,9285536,146719,2016-09-23 17:50:56+00:00
